Index,MSA,talent_score,connect_score,cost_score,quality_score,finalscore
165,"Grand Rapids Wyoming, MI",61.77988529,66.27903032,42.71495719,58.2144191,68.42360268
166,"Kalamazoo Portage, MI",54.37500214,38.31347704,64.38741179,25.8193374,51.16576074
167,"Ann Arbor, MI",61.61027934,58.50131523,49.01137953,52.91142941,66.36773742
168,"Jackson, MI",35.11058782,46.94813064,57.10140607,44.00627743,44.14802589
169,"Saginaw, MI",31.69184859,39.9707071,68.18505,53.51473217,48.66489441
170,"Flint, MI",34.80990216,49.65465029,58.84937378,29.37707559,41.67787134
171,"Monroe, MI",24.67032081,38.18221087,60.76784402,36.13129013,31.82677922
172,"Detroit Warren Dearborn, MI",70.95379289,73.21586592,40.51121293,66.51019048,79.98058831
173,"Lansing East Lansing, MI",56.82924553,51.03006426,59.61208099,45.03167505,63.39535273
174,"Rochester, MN",54.75000968,42.61774891,42.4342228,50.45409383,47.28539595
175,"St. Cloud, MN",45.14499091,36.27341248,45.65597721,46.83575481,38.06690025
176,"La Crosse Onalaska, WI MN",47.17285462,21.12984331,49.71237274,40.70925505,31.50243377
177,"Fargo, ND MN",55.90155948,48.63554664,43.50439251,53.63645419,53.32264662
178,"Mankato North Mankato, MN",51.14583635,26.35469554,47.60819254,40.95233325,35.8413332
179,"Joplin, MO",31.87029121,37.65091958,73.05849278,45.25820518,47.97447783
180,"St. Louis, MO",68.2557432,69.08675864,45.3411865,70.95379289,80.60485026
181,"Jefferson City, MO",45.93568204,24.04956284,67.47683712,42.38324454,45.04178845
182,"Springfield, MO",51.49443015,52.19800224,46.9755364,51.49443015,53.9803601
183,"St. Joseph, MO",36.69473579,30.18822937,72.05380446,52.55337887,48.82827736
184,"Kansas City, MO KS",71.65425251,67.22913423,45.94235957,67.22913423,81.00789258
185,"Columbia, MO",59.23512141,48.4100272,66.16719295,39.46977687,66.12866276
186,"Gulfport Biloxi Pascagoula, MS",33.88026083,44.69105895,78.52576642,29.78823628,51.81047938
187,"Hattiesburg, MS",46.94813064,18.18094924,83.62381836,28.06667892,48.53693216
188,"Jackson, MS",53.03141196,56.69478966,76.99842837,30.76906653,71.03981589
189,"Great Falls, MT",44.34931457,38.83274533,59.86875521,33.56029887,44.1618854
190,"Billings, MT",48.74841259,45.48435225,54.1951027,47.28521383,51.77427021
191,"Missoula, MT",54.00390913,47.28521383,50.16420071,44.12077711,52.55602783
192,"Rocky Mount, NC",11.35693146,24.67032081,91.8954432,25.5424597,32.68841046
193,"Hickory Lenoir Morganton, NC",59.53580708,60.94744745,62.90275921,42.73463215,72.3634217
194,"Jacksonville, NC",39.46977687,35.11058782,88.85095598,24.04956284,55.27211712
195,"Asheville, NC",44.69105895,46.83575481,72.29415403,27.60025147,55.41628031
196,"Greenville, NC",48.18475321,42.38324454,79.50586363,11.35693146,54.64574735
197,"Burlington, NC",35.55380945,31.69184859,85.21227457,37.24547956,52.66945497
198,"Greensboro High Point, NC",63.38777207,63.20113363,59.11462646,58.35741778,79.03366315
199,"Raleigh, NC",72.02280673,70.95379289,41.8131853,63.5766427,79.30978984
200,"Fayetteville, NC",38.31347704,47.84720391,75.27235046,19.27151249,50.81989637
201,"Wilmington, NC",61.11090934,61.11090934,57.17326814,61.27583869,75.95553981
202,"Durham Chapel Hill, NC",60.78541036,59.53580708,73.32397004,34.35049146,76.67359245
203,"Goldsboro, NC",25.8193374,23.04746426,95,26.08996603,43.96471836
204,"Myrtle Beach Conway North Myrtle Beach, SC NC",35.40707373,53.39337598,72.3954146,23.39191635,51.43449519
205,"Winston Salem, NC",47.84720391,53.75855134,85.37133555,36.27341248,73.42935346
206,"Grand Forks, ND MN",54.62455445,33.06987055,71.69241766,38.31347704,57.61623838
207,"Bismarck, ND",52.7917686,25.5424597,60.83185232,50.22493213,48.71843173
208,"Lincoln, NE",57.65097344,54.49955556,45.1467634,53.15172477,58.81849993
209,"Boston Cambridge Newton, MA NH",84.51860609,84.51860609,7.453367601,81.72971007,78.29524803
210,"Manchester Nashua, NH",66.27903032,63.5766427,17.24873198,72.02280673,57.26592298
211,"Allentown Bethlehem Easton, PA NJ",67.22913423,64.15747986,19.83421925,76.76472767,61.63641735
212,"Jersey City Hoboken, NJ",95,89.34570923,5,74.09967389,83.92753857
213,"Trenton, NJ",67.47799316,66.05178973,17.46590849,86.49251193,64.59292188
214,"Ocean City, NJ",40.21851997,49.08750406,29.05738336,61.44227991,35.64358797
215,"Vineland Bridgeton, NJ",18.18094924,39.46977687,30.61548348,54.00390913,13.61295054
216,"Atlantic City Hammonton, NJ",59.99521777,61.44227991,19.7220795,75.60297835,54.66779162
217,"Newark, NJ",79.71126516,86.49251193,15.18458888,62.65386065,74.89688443
218,"Farmington, NM",20.24603534,37.78470655,79.48920409,50.68393046,46.35419619
219,"Las Cruces, NM",49.08750406,27.11657501,77.05717768,28.2939195,50.67937875
220,"Albuquerque, NM",53.51473217,59.38492528,69.44708608,43.8916154,72.22639749
221,"Santa Fe, NM",53.75855134,38.44414976,69.27855958,52.43463358,63.26472966
222,"Reno, NV",52.55337887,54.00390913,51.5409613,47.62234689,57.53200641
223,"Carson City, NV",39.84615367,42.73463215,62.29747861,53.39337598,51.7488051
224,"Las Vegas Henderson Paradise, NV",62.65386065,76.76472767,25.95655286,64.55747295,65.70523825
225,"Ithaca, NY",64.35613439,46.27351507,41.94804939,40.3418001,52.14808596
226,"Utica Rome, NY",36.13129013,28.51741555,46.32777878,47.84720391,28.28752462
227,"Kingston, NY",47.9596796,28.73733069,46.96096756,57.51214532,40.2401894
