MSA,State,Lat,Long,NumAirline,GDP,Tech_Hub,AvgStateTax,AvgPropTaxPerCap,LandArea,PopDensity,Age2534,MedianIncome,PercentBach,PovertyRate,HealthCareIndex,CrimeIndex,PurchasingPower,CPIIndex,PollutionIndex,TrafficIndex,QualityofLifeIndex,RentIndex,PropPricetoIncomeRatio,CO2Index,NumTechConf,TotEnrollment,AvgSchoolRep,AvgTuition,Electricity,NatGas,CorpTaxMin,CorpTaxMax,CostLivingComposit,WCIndex,TaxableWageBase,SingEmpCost,FamilyEmpCost,GDP5Year,Poplutation,MaleFemaleRatio,Under5,Bet5and9,Bet10and14,Bet15and19,Bet20and24,Bet25and34,Bet35and44,Bet45and54,Bet55and59,Bet60and64,Bet65and74,Bet75and84,AtorOver85,MedianAge,Labor,LaborForceAnnGrowth,GDPperCap,CBRE_TechScore,CBRE_Tech_Talent,CBRE_change_12_17,CBRE_Volume_12_17,CBRE_Concentration_17,CBRE_17_Tech_Degrees,CBRE_Growth_12_17,CBRE_Brain,CBRE_AvgRent_75K,CBRE_AskingRentPerSF,CBRE_Vacancy_Rate,CBRE_Avg_monthly_Apartment_Rent,CBRE_Costofliving,CBRE_AvgAnn_TechWage,CBRE_Rent_to_Tech_WageRatio,CBRE_MILLENNIAL_Pop,CBRE_WageRelativetoUSAvg,CBRE_TalentWage_5Yr_Growth,CBRE_Office_Vacancy_Rate_13,CBRE_Apartment_Rent,RevPerCap0,RevPerCap11,RevPerCap21,RevPerCap22,RevPerCap23,RevPerCap31_33,RevPerCap42,RevPerCap44_45,RevPerCap48_49,RevPerCap51,RevPerCap52,RevPerCap53,RevPerCap54,RevPerCap56,RevPerCap61,RevPerCap62,RevPerCap71,RevPerCap72,RevPerCap81,RevPerCap55,RevPerCap99,PerofRev0,PerofRev11,PerofRev21,PerofRev22,PerofRev23,PerofRev31_33,PerofRev42,PerofRev44_45,PerofRev48_49,PerofRev51,PerofRev52,PerofRev53,PerofRev54,PerofRev56,PerofRev61,PerofRev62,PerofRev71,PerofRev72,PerofRev81,PerofRev55,PerofRev99,Patents,VCInvPer,VCFirms,Amazon,TopGrad,numairport,asai,densityscore,landusescore,activityscore,streetscore
"Durham Chapel Hill, NC",NC,35.9940329,-78.898619,0,37278,0,0.0475,952,1691,335.5576582,0.191,57605,0.419,0.175,74.36,55.45,,,24.58,95.27,,35.49,2.99,4355.75,0,6609,3.7,53744,9.15,9.06,0.03,0.03,90.2,1.91,23500,4154,12154,1.028782959,550281,91.9,32701,32452,32525,38342,44249,82375,73283,71340,34977,33060,45465,20182,9330,36.7,300555,0.0076,0.067743571,57.95,59360,0.207,10200,0.066,14803,0.207,-4603,1928250,25.71,0.141,1060,100,94806,0.134,0.157,1,0.16,0.17,1060,107.2607704,0,0,0,4.204813541,18.84592236,22.68633843,10.59066186,0.713202891,2.176266308,14.03315215,1.243842691,14.26562429,1.759213929,4.466577985,6.963333279,0.359897943,2.282432067,0.774004554,1.895486124,,1,0,0,0,0.039201784,0.175701911,0.211506391,0.098737514,0.006649243,0.02028949,0.130832103,0.011596436,0.132999458,0.01640128,0.041642233,0.064919665,0.003355355,0.021279281,0.007216101,0.017671756,,607,0.0051,0,0,1,1,159.53,91.59,74.84,80.27,84.98
"Eau Claire, WI",WI,44.811349,-91.4984941,1,7486,0,0.05,1616,1592,105.2035176,0.198,49702,0.224,0.15,80.56,22.06,,,7.76,63.32,,24.38,2.54,2261,0,0,0,0,11.05,,0.079,0.079,95.1,2.06,14000,4510,13660,1.036428779,165833,101.1,9575,10122,9839,11676,16059,21855,18859,21072,11545,10135,14307,7094,3695,36.7,93450,0.0047,0.045141799,,,,,,,,,,,,,,,,,,,,,82.11000223,0,0,0,4.735474845,25.34799467,9.751472867,14.87981885,2.603130861,1.432917453,5.406571672,0.897028939,2.331423782,1.322800649,0.676125982,9.09887055,0.313882038,2.373285172,0.914498321,0,0.024705577,1,0,0,0,0.057672326,0.308707758,0.118761084,0.181218103,0.031702969,0.017451192,0.06584547,0.010924722,0.028393907,0.016110104,0.008234392,0.110813181,0.003822702,0.028903728,0.011137478,,0.000300884,43,0,0,0,0,1,10.33,,,,
"El Centro, CA",CA,32.792,-115.5630514,0,5137,0,0.0725,1451,4378,41.76107812,0.216,44799,0.126,0.223,,,,,,,,,,,0,0,0,0,16.14,8.77,0.0884,0.0884,,3.24,7000,4490,12629,1.015003537,179957,104.5,15123,14191,13896,13703,14522,25615,21822,21029,9288,8952,12077,6878,2861,32.2,74938,0.0095,0.028545708,,,,,,,,,,,,,,,,,,,,,30.88032697,0,0,0,0,8.004267686,7.191701351,8.240262952,1.335952478,0.474418889,0.798235134,0.662080386,0.51613441,0.803669766,0.130386703,1.258989648,0.049711876,1.037264458,0.377251232,0,,1,0,0,0,0,0.259202815,0.232889417,0.266845068,0.043262252,0.015363143,0.02584931,0.0214402,0.01671402,0.0260253,0.004222323,0.040769958,0.001609823,0.033589815,0.012216556,,,3,0,0,0,0,1,7.35,,,,
"Elizabethtown Fort Knox, KY",KY,37.7030646,-85.8649408,0,5444,0,0.06,781,848,177.3938679,0.193,47983,0.151,0.153,,,,,,,,,,,0,0,0,0,8.44,9.2,0.04,0.06,,1.52,10200,4042,11941,1.009207878,150253,100.2,9576,10633,10125,10189,10391,19990,19346,20986,11199,8000,11882,5946,1990,37,66821,-0.0057,0.036232222,,,,,,,,,,,,,,,,,,,,,50.88603223,0.02157694,0,0,3.084597313,16.33024965,3.215549773,13.71046834,0.620360326,2.377450034,3.180255968,0.607382215,1.759991481,0.839470759,0.088983248,2.53036545,0.091745256,1.226844056,1.113009391,0,0.087732025,1,0.000424025,0,0,0.06061776,0.320918117,0.063191207,0.269434808,0.012191171,0.046721073,0.062497621,0.011936128,0.034586927,0.016497076,0.001748677,0.04972613,0.001802956,0.024109643,0.021872591,0,0.001724089,9,0,0,0,0,,,,,,
"Elkhart Goshen, IN",IN,41.6819935,-85.9766671,0,15200,0,0.07,975,418,490.507177,0.197,48578,0.154,0.172,72.22,,,,42.41,,,23.76,0.92,,0,0,0,0,9.61,7.56,0.06,0.06,94.8,1.05,9500,4965,13821,1.09444335,202924,97.8,15361,15579,16352,14370,13110,25708,25069,25852,12854,11001,15657,7987,4024,35.4,118476,0.0076,0.074904891,,,,,,,,,,,,,,,,,,,,,121.0473675,0.04492815,0,0,4.19124894,69.62629359,17.60884371,10.77259959,3.807499359,0.70966963,2.011560978,1.507529913,1.218101358,0.871873214,0.267435099,5.212458852,0.213789399,1.258776685,0.906408311,0.818350713,,1,0.000371162,0,0,0.034624867,0.575198743,0.145470687,0.08899491,0.031454623,0.005862743,0.016617966,0.01245405,0.010063014,0.007202744,0.002209343,0.043061315,0.001766163,0.010399042,0.007488046,0.006760582,,47,0,0,0,0,1,28.44,,,,
"Elmira, NY",NY,42.0897965,-76.8077338,6,2913,0,0.04,2697,381,224.5590551,0.192,47225,0.187,0.156,,,,,,,,,,,0,0,0,0,14.78,6.79,0.065,0.065,,2.83,11100,4865,14696,1.002210649,86883,98.1,5101,4971,5624,5499,5564,10492,10276,11988,6361,6009,8237,4272,2489,41.2,35075,-0.0084,0.033527848,,,,,,,,,,,,,,,,,,,,,55.94392459,,0,0,2.794344118,17.7199337,6.404521023,11.48312098,1.649206404,1.23703141,0,0.968440316,1.17487886,1.434676519,0.429094299,8.066652855,0.127953685,1.97085736,0.483213057,0,,1,,0,0,0.049949018,0.316744559,0.114481082,0.205261269,0.029479634,0.022111988,0,0.017310911,0.021001009,0.025644903,0.007670079,0.144191758,0.002287177,0.035229158,0.008637454,,,75,0,0,0,0,1,21.8,,,,
"El Paso, TX",TX,31.7775757,-106.4424559,24,25332,0,0.0625,1731,972,869.154321,0.22,42601,0.163,0.246,,,,,,,,,,,0,20521,2.1,11087.25,8.55,,,,88.8,1.45,9000,4251,11869,1.018684595,838527,96.2,65938,62874,66815,65344,71502,121746,105298,98420,46757,38163,53226,30540,11904,31.9,362010,0.0044,0.030210118,,,,,,,,,,,,,,,,,,,,,56.62048688,0.053764518,0.065544699,0,0,18.47075049,9.379237639,10.04551791,3.045768353,3.047120725,1.610049527,1.095796558,1.385324504,1.651273006,0.198248834,3.809130773,0.137960972,1.82674738,0.646391828,0.146610664,0.005248489,1,0.000949559,0.001157615,0,0,0.32622027,0.165650954,0.17741843,0.053792691,0.053816576,0.028435812,0.019353358,0.024466842,0.029163879,0.003501362,0.06727478,0.002436591,0.032263011,0.011416218,0.002589357,9.27E-05,34,0,0,0,1,1,55.17,114.9,99.42,73.41,128.66
"Erie, PA",PA,42.1292241,-80.085059,4,9678,0,0.045,1481,1478,185.7516915,0.203,46378,0.212,0.172,61.11,52.27,,,70.69,98.67,,20.72,,4655,0,0,0,0,10.16,,0.0999,0.0999,,1.84,10000,4508,13340,1.012780304,277794,97.5,15764,17106,16830,20053,19939,36144,31206,36475,20943,18159,25073,13430,6672,39,129163,0.0013,0.034838765,,,,,,,,,,,,,,,,,,,,,89.95730649,0,0.111031916,0,2.728327466,33.45657934,4.847336516,17.42265852,0.872171465,1.042268732,13.50998222,1.878057121,1.321126446,0.962475791,1.034705573,7.363139593,0.955546196,1.823127929,0.62877168,0,,1,0,0.001234273,0,0.030329137,0.371916197,0.053884856,0.19367697,0.009695393,0.01158626,0.150182156,0.020877205,0.014686149,0.010699251,0.011502185,0.08185149,0.010622219,0.020266591,0.006989668,,,91,0,0,0,0,1,15.61,97.73,130.61,113.69,88.92
"Eugene, OR",OR,44.0520691,-123.0867536,14,13643,0,0,1404,4593,81.59111692,0.202,46057,0.26,0.191,80.22,30.95,98.62,67.98,26.26,117.49,192.74,30.49,4.74,5333.78,0,0,0,0,8.98,8.88,0.066,0.076,,1.28,39300,4645,12927,1.041287017,363471,97.2,18196,19198,19197,24386,35346,46139,42341,43292,25046,25866,38364,17345,8755,39.4,184837,0.0095,0.037535319,,,,,,,,,,,,,,,,,,,,,57.2453098,0.740314908,0,0,2.985448633,10.59547804,9.719058742,11.3140113,1.075312748,1.818868631,4.950144578,1.353912692,1.898795227,0.901197069,0.330925989,6.221472965,0.274060379,1.761626099,0.923773836,0.380907968,,1,0.012932324,0,0,0.052151847,0.185089016,0.169779127,0.197640843,0.018784294,0.031773234,0.086472492,0.023651068,0.033169446,0.015742723,0.00578084,0.108680921,0.004787473,0.030773283,0.01613711,0.006653959,,79,0,0,0,0,1,16.17,95.35,125.7,116.84,91.29
"Evansville, IN KY",IL,37.9715592,-87.5710898,9,15326,0,0.0625,2087,2169,145.5366528,0.194,50009,0.188,0.144,94.44,45.96,,,47.41,69.52,,19.36,1.96,2660,0,0,0,0,9.33,7.8,0.095,0.095,,2.23,12960,4523,13425,1.009028214,315263,94.9,19076,21063,19112,20196,20851,41366,37648,41597,23055,21100,28357,14860,6982,39.3,164942,0.0026,0.04861338,,,,,,,,,,,,,,,,,,,,,129.5139265,0,0.899439516,0,6.779238287,54.05479235,19.23834069,15.21177239,5.426570831,3.536580569,4.122104402,1.283325351,4.333001335,1.30511668,0.419329258,8.807389386,0.324817692,2.121035453,1.304583792,0.346488487,,1,0,0.006944732,0,0.052343701,0.41736664,0.148542641,0.117452793,0.041899516,0.027306566,0.031827499,0.009908783,0.033455872,0.010077037,0.003237716,0.068003416,0.002507975,0.016376891,0.010072923,0.002675299,,118,0,0,0,0,1,27.62,91.57,92.59,86.07,84.34
"Fairbanks, AK",AK,64.8377778,-147.7163889,27,4736,0,0,2001,9372,10.63839095,0.205,69421,0.282,0.094,,,,,,,,,,,0,7239,2.1,11991.5,19.52,9.91,0,0.094,,2.74,39500,6291,17647,1.00243154,100031,117.2,7830,7072,5877,6330,11069,18337,12083,11484,5999,5291,6114,2076,469,31,46284,0.0101,0.047345323,,,,,,,,,,,,,,,,,,,,,78.53056552,0.061241015,6.332796833,0,8.261149044,18.206466,6.342153932,16.63705251,3.866991233,1.612560106,1.124421429,2.24674351,2.767642031,1.695024542,0.396816987,5.20980496,0.618438284,2.323139827,0.828123282,0,,1,0.000779837,0.080641172,0,0.105196607,0.231839232,0.080760324,0.211854485,0.049241862,0.020534172,0.014318265,0.028609797,0.035242864,0.021584265,0.005053026,0.066341111,0.007875128,0.029582619,0.010545235,,,4,0,0,0,1,1,18.17,,,,
"Fargo, ND MN",MN,46.8771863,-96.7898034,14,14015,0,0.0688,1534,2598,92.90069284,0.21,51526,0.306,0.122,50.93,45.44,,,2.59,117.72,,23.42,2.72,5785.5,0,12010,2,12199.5,10.53,6.82,0.098,0.098,,1.91,32000,4042,12742,1.050517284,232660,101,16480,15085,13157,17082,26798,37784,28461,26130,12991,12162,14290,7937,4303,32.3,135646,0.0028,0.060238116,,,,,,,,,,,,,,,,,,,,,126.3103026,0,0,0.645156022,9.664579214,15.81317803,37.17587897,19.35351586,3.774206997,4.185983839,12.81547322,2.817884467,3.676755781,1.624344537,0.51287716,9.278780194,0.759812602,2.503004384,1.046862374,0.66200894,,1,0,0,0.005107707,0.076514576,0.125193098,0.294321827,0.15322199,0.029880437,0.033140478,0.101460237,0.022309221,0.029108914,0.012859953,0.004060454,0.073460201,0.006015444,0.019816312,0.00828802,0.005241132,,75,0,0,0,1,1,19.12,99.18,118.65,106.96,73.56
"Farmington, NM",NM,36.7280583,-108.2186856,9,6134,0,0.0513,770,5311,23.89870081,0.225,50783,0.137,0.239,26.39,,,,12.07,88.98,,25.1,,3990,0,0,0,0,9.64,,0.048,0.059,0,1.92,24200,4133,11494,0.977971319,128221,98.2,9260,10312,9900,8953,8492,17824,15406,15288,8864,7081,9705,4936,2200,34.6,54035,0.0095,0.047839277,,,,,,,,,,,,,,,,,,,,,56.59838092,0.079901108,9.131429329,0,3.890454762,2.281638733,9.812706187,13.73601828,3.600650439,0.804907152,0.820996561,2.185656016,1.237488399,0.917455019,0.13279416,4.52528057,0.35452071,1.739052105,1.347431388,0,,1,0.001411721,0.161337289,0,0.068737916,0.040312792,0.173374327,0.242692778,0.063617552,0.014221381,0.014505655,0.038616935,0.021864378,0.016209916,0.002346254,0.079954241,0.006263796,0.030726181,0.023806889,,,5,0,0,0,0,1,1.15,,,,
"Fayetteville, NC",NC,35.0526641,-78.8783585,8,14992,0,0.0475,952,984,392.949187,0.207,48218,0.185,0.183,,,,,,,,,,,0,0,0,0,9.15,9.06,0.03,0.03,100,1.91,23500,4154,12154,0.999998628,385337,99.1,30350,27220,25320,26266,38835,66535,46094,44076,21382,18091,24682,12271,4215,31.2,148132,0.0204,0.038906204,,,,,,,,,,,,,,,,,,,,,47.18951204,0.040398405,0,0.611309062,2.82856824,14.86176256,2.474771434,11.77948653,1.492592199,1.590407877,1.250388621,1.345056405,2.477872615,0.993660095,0.348783013,2.626936941,0.121685693,1.658981619,0.603396507,0.083454223,,1,0.000856089,0,0.012954342,0.059940612,0.314937831,0.052443251,0.249620859,0.031629744,0.033702571,0.026497172,0.028503291,0.052508969,0.0210568,0.007391113,0.055667813,0.00257866,0.035155727,0.012786666,0.001768491,,13,0,0,0,0,1,25.62,91.13,71.69,72.57,71.77
"Fayetteville Springdale Rogers, AR MO",AR,36.0625795,-94.1574263,0,25341,0,0.065,699,3039,176.8552155,0.198,50493,0.212,0.15,56.25,27.3,109.61,63.43,11.21,95.48,198.72,25.26,2.79,3059,1,22548,2.5,12873.5,8.18,,0.01,0.065,100,1.06,10000,3580,10012,1.066018727,514166,99.2,36640,37066,38192,37872,40544,75335,69303,62346,28741,24839,37377,18735,7176,33.9,276768,0.0061,0.049285639,,,,,,,,,,,,,,,,,,,,,97.50168234,0.066254867,0.095801745,0,4.085892494,13.90764461,38.77801527,12.21145895,7.155420623,1.610866918,2.19045989,1.337404651,3.651075723,1.163690326,0.212316645,4.643016069,0.44260025,1.544462294,0.833584873,3.569473672,0.002242466,1,0.000679525,0.000982565,0,0.041905867,0.142640048,0.397716371,0.125243572,0.073387663,0.016521427,0.022465868,0.013716734,0.037446284,0.011935079,0.002177569,0.047619856,0.004539411,0.015840366,0.008549441,0.036609355,2.30E-05,80,0,0,0,1,1,52.96,84.55,67.95,80.67,81.81
"Flagstaff, AZ",AZ,35.1982836,-111.651302,2,5017,0,0.056,1036,18299,7.693097983,0.233,52414,0.282,0.238,61.11,25.59,,,15.52,90.88,,37.9,4.06,3192,0,0,0,0,10.71,8.89,0.049,0.049,98.1,1.5,7000,4265,12179,1.031252121,138639,97,7991,8193,8414,15457,17762,18729,15014,15264,8620,7762,9965,4107,1361,30.6,78377,-0.0021,0.036187509,,,,,,,,,,,,,,,,,,,,,57.97647127,0,0,0,1.987658595,16.35688371,3.879399015,14.47770829,1.676865817,0.900460909,2.037521909,1.502369463,1.31913098,0.661098248,0.24674875,6.207488513,0.747589062,5.248616912,0.726931094,0,,1,0,0,0,0.034283884,0.282129687,0.066913334,0.249716962,0.028923213,0.015531489,0.035143945,0.025913434,0.022752868,0.011402871,0.004256015,0.107069099,0.012894698,0.09053012,0.012538381,,,64,0,0,0,0,3,6.1,,,,
"Flint, MI",MI,43.0125274,-83.6874562,14,11955,0,0.06,1382,580,702.387931,0.199,46133,0.174,0.21,86.11,78.6,,,49.57,77.41,,26.77,,2660,0,0,0,0,11.39,6.97,0.06,0.06,98.1,1.57,9500,4167,13674,1.024091143,410881,93.1,24596,26271,27190,27465,27130,47862,49421,57236,30616,26903,37727,20256,8208,40.1,180957,0.0074,0.029096016,,,,,,,,,,,,,,,,,,,,,76.04589163,0.004823781,0,0,2.022162135,24.42490892,13.30228947,15.72632952,1.3634629,0.833959224,5.734010577,1.017413801,0.986631166,1.322412085,0.590881545,6.027163583,0.162589655,1.435104081,0.944025156,0.147724037,,1,6.34E-05,0,0,0.02659134,0.321186436,0.174924499,0.206800515,0.017929475,0.010966526,0.075401977,0.013378945,0.012974155,0.017389658,0.007770065,0.079256926,0.002138047,0.018871553,0.012413888,0.001942564,,120,0,0,0,0,,,89.57,90.58,114.82,97.49
"Florence, SC",SC,34.1954331,-79.7625625,2,7432,0,0.06,1130,1289,159.6826998,0.201,42865,0.173,0.222,,,,,,,,,,,0,0,0,0,9.83,9.35,0.05,0.05,98.1,1.94,14000,4289,12666,1.034077852,206109,88.1,12768,14411,13291,13170,13783,25060,25393,27453,14089,13811,20103,9213,3564,39.6,94785,0.0053,0.03605859,,,,,,,,,,,,,,,,,,,,,74.9150304,0.328695011,0,0,1.613093072,21.52300482,16.99454172,12.69428312,1.44332853,0.718226764,4.195847828,1.021721516,1.620055408,1.003027524,0.274155908,8.690343459,0.308754106,1.547889709,0.938061899,0,,1,0.004387571,0,0,0.021532302,0.287298887,0.226850895,0.169449082,0.019266208,0.009587218,0.056008091,0.013638405,0.021625239,0.013388869,0.003659558,0.116002669,0.004121391,0.020661938,0.012521678,,,23,0,0,0,0,1,7.81,,,,
"Florence Muscle Shoals, AL",AL,34.79981,-87.677251,0,4346,0,0.04,540,1267,116.0520916,0.193,42283,0.175,0.182,62.27,20.88,,,27.59,56.55,,15.02,10.55,1862,0,0,0,0,9.89,12.2,0.065,0.065,98.1,1.85,8000,3825,11412,1.022284168,147025,91.9,7819,8924,8157,9309,11225,17314,16777,19502,10484,9741,15864,8694,3215,42,66718,0.012,0.029559599,,,,,,,,,,,,,,,,,,,,,63.19238905,0.205312022,0,0,3.601061044,23.30707023,9.887889815,13.33790172,0.90473729,1.051406223,2.104934535,1.269525591,0.85730318,1.058513858,0.141683387,2.75082469,0.137888114,1.587104234,0.989233124,0,,1,0.003248999,0,0,0.056985677,0.368827173,0.156472796,0.211068167,0.014317188,0.016638178,0.033309938,0.02008985,0.013566558,0.016750654,0.002242096,0.043530949,0.002182037,0.025115433,0.015654308,,,11,0,0,0,0,1,12.77,81.22,51.13,87.85,61.44
"Fond du Lac, WI",WI,43.7730448,-88.4470508,0,4388,0,0.05,1616,711,144.230661,0.197,52698,0.171,0.116,,,,,,,,,,,0,0,0,0,11.05,,0.079,0.079,95.1,2.06,14000,4510,13660,1.042578114,102082,95.9,5603,6418,6394,6496,6397,12002,12117,14601,8054,6720,9571,5116,2593,41.2,58196,0.0024,0.042985051,,,,,,,,,,,,,,,,,,,,,100.8979056,0,0,0,6.935375482,41.25121961,17.34245019,13.38234948,0,1.284153915,5.768568406,0.941958426,1.58580357,0,0.609461022,8.645569248,0.363168825,1.388687526,1.399139907,0,,1,0,0,0,0.068736565,0.408841188,0.171881171,0.132632579,0,0.01272726,0.05717233,0.009335758,0.015716913,0,0.006040373,0.08568631,0.003599369,0.013763294,0.013866888,,,25,0,0,0,0,,,,,,
"Fort Collins, CO",CO,40.5852602,-105.084423,0,15073,0,0.029,1382,2538,135.5303388,0.206,60340,0.402,0.136,79.17,22.59,,,8.83,119.09,,41.94,3.5,5872.46,0,25177,2.8,16009,9.94,7.16,0.0463,0.0884,95.1,1.56,12600,4506,12637,1.057360964,330976,99.3,17758,18396,19806,23588,36162,46933,39919,38885,22330,20275,28485,13022,5417,35.7,205656,0.0019,0.045541066,,,,,,,,,,,,,,,,,,,,,74.89651213,0.017321498,0.252018273,0,5.242301557,13.19251245,17.530543,15.02769083,1.120431693,2.108394566,2.473756405,1.51708281,3.733421759,1.731092285,0.395073963,6.333238664,0.422713429,2.250365585,0.934675022,0.613878348,,1,0.000231272,0.003364887,0,0.069993934,0.176143215,0.234063543,0.20064607,0.014959731,0.028150771,0.033028993,0.02025572,0.049847739,0.023113123,0.005274931,0.084559861,0.005643967,0.030046334,0.012479553,0.008196354,,392,0,0,0,1,1,0.51,94.53,106.3,96.44,100.59
"Fort Smith, AR OK",OK,35.3859242,-94.3985475,5,8914,0,0.045,678,3904,72.25563525,0.197,40842,0.13,0.195,77.78,43.63,,,17.93,98.66,,16.98,,4788,0,0,0,0,8.12,8.55,0.06,0.06,95.1,2.23,17600,4067,11585,1.004114476,280705,97,17702,19028,19517,18879,17755,35116,34969,37350,18653,17332,26285,13411,4708,38.5,117318,-0.0003,0.031755758,,,,,,,,,,,,,,,,,,,,,66.87782904,0.069500009,0.87225379,0.61711049,2.70569459,22.40267184,9.209127019,11.77208101,4.009643576,1.200277872,1.525362925,1.588190449,1.425118897,1.324411749,0.104508292,5.311993018,0.111857644,1.239219109,0.62509396,0.763712795,,1,0.001039209,0.013042496,0.00922743,0.040457273,0.334979053,0.137700747,0.176023672,0.059954751,0.017947321,0.0228082,0.023747638,0.021309288,0.01980345,0.001562675,0.079428311,0.001672567,0.018529595,0.009346804,0.011419521,,17,0,0,0,0,1,19.04,80.74,56.78,75.3,86.02
"Fort Wayne, IN",IN,41.079273,-85.1393513,16,19786,0,0.07,975,1223,355.369583,0.198,53529,0.229,0.133,78.33,48.65,,,45.47,115.53,,21.86,1.43,5426.4,0,0,0,0,9.61,7.56,0.06,0.06,,1.05,9500,4965,13821,1.037767987,429060,95.7,29907,30902,31176,29381,28404,56562,52927,55232,28920,25586,34743,16887,8433,36.4,220369,0.0105,0.046114763,,,,,,,,,,,,,,,,,,,,,141.8784343,0.026611663,0.065186687,0,5.1920757,46.90618095,41.1919312,12.59239267,4.414743859,2.440201837,13.35164313,1.454875775,2.023654034,1.289472335,0.509767865,7.087339766,0.270899175,1.679779052,0.968412343,0.41326621,,1,0.000187567,0.000459455,0,0.036595242,0.330608251,0.290332575,0.088754804,0.031116384,0.017199244,0.09410622,0.010254383,0.014263296,0.009088572,0.00359299,0.049953609,0.001909375,0.011839566,0.006825649,0.002912819,,141,0,0,0,0,1,32.26,92.42,93.7,89.9,73.85
"Fresno, CA",CA,36.7468422,-119.7725868,20,35866,0,0.0725,1451,5724,172.8258211,0.22,54335,0.18,0.268,78.67,61.17,101.86,69.36,80.51,111.04,141.61,30.32,3.22,4884.73,0,0,0,0,16.14,8.77,0.0884,0.0884,140.7,3.24,7000,4490,12629,1.043843726,971616,99.5,79010,79405,76048,72588,76074,146165,118927,112779,52863,46889,63645,31532,15691,31.8,454084,-0.0025,0.03691376,,,,,,,,,,,,,,,,,,,,,55.77828175,0.556239296,0.030550135,0,2.820311728,10.63055981,14.48663567,9.184209605,2.130291185,1.400220869,3.015846795,1.371422455,1.518458939,0.893886062,0.355187646,4.898383724,0.185656679,1.496932945,0.702510045,0.100978164,,1,0.009972328,0.000547707,0,0.050562901,0.190586004,0.259718213,0.164655657,0.038192126,0.025103335,0.054068478,0.024587033,0.027223121,0.016025701,0.006367848,0.087818835,0.003328476,0.026837201,0.012594688,0.001810349,,72,0,0,1,0,1,31.89,101.75,126.18,81.45,82.42
"Gadsden, AL",AL,34.014264,-86.0066386,0,2606,0,0.04,540,510,201.4803922,0.193,41732,0.137,0.19,56.94,54.9,,,15.52,264.77,,17.29,,13300,0,0,0,0,9.89,12.2,0.065,0.065,140.7,1.85,8000,3825,11412,1.021127063,103132,93.2,5786,6158,6415,6482,6546,11887,13292,14034,7410,6715,10886,5624,1897,40.9,43653,0.0098,0.025268588,,,,,,,,,,,,,,,,,,,,,52.8851084,0,0,0,2.634904782,13.89521196,7.457918008,11.07417678,0.826048171,0.792411667,2.282152969,0.590650816,1.219621456,1.471405577,0.072858085,7.658166234,0.190571307,1.286506613,1.432503975,0,,1,0,0,0,0.04982319,0.262743377,0.141021135,0.209400663,0.015619674,0.014983645,0.043153036,0.011168566,0.023061718,0.027822682,0.001377667,0.144807612,0.003603497,0.024326444,0.027087095,,,1,0,0,0,0,,,,,,
"Gainesville, FL",FL,29.6516344,-82.3248262,12,11112,0,0.06,1232,1283,221.8916602,0.234,47247,0.39,0.25,79.76,50.21,,,17.73,84.12,,28.02,2.96,2634,0,34554,3.4,11950.25,10.65,,0.055,0.087,140.7,1.66,7000,3975,11692,1.033682753,277056,94.6,14989,14187,12762,23998,43186,41590,29025,29053,15946,15591,21892,9879,4958,31.7,146702,-0.0017,0.040107415,,,,,,,,,,,,,,,,,,,,,48.90214614,0.089231058,0,0,2.536913115,4.568072881,3.731068809,11.00235692,0.990272725,1.633673337,5.599896772,1.410938583,2.696382681,1.526745495,0.648316586,9.274056508,0.281224734,2.44400771,0.468988219,0,,1,0.001824686,0,0,0.051877337,0.093412524,0.076296627,0.2249872,0.020250087,0.033406987,0.114512291,0.028852283,0.05513833,0.031220419,0.013257426,0.189645184,0.005750765,0.049977514,0.00959034,,,187,0,0,0,1,1,25.62,,,,
"Gainesville, GA",GA,34.2978794,-83.8240663,0,8253,0,0.04,1125,394,505.9263959,0.193,54952,0.175,0.178,,,,,,,,,,,0,0,0,0,9.75,8.76,0.06,0.06,140.7,1.8,9500,4155,12746,1.064263736,192865,99.3,12977,14144,14912,13354,12783,25164,25144,26302,11292,10224,15897,8221,2451,36,104359,0.0067,0.04279159,,,,,,,,,,,,,,,,,,,,,127.8375962,0.005584217,0,0.560744562,5.101827703,37.32321572,54.76312447,10.81596453,2.231789075,0.865123273,2.376501698,1.121820963,1.287802349,1.035045239,0.526088196,6.416260078,1.495502035,1.308163741,0.603038395,0,,1,4.37E-05,0,0.004386382,0.039908664,0.291958053,0.42838043,0.084607071,0.017458003,0.006767362,0.018590006,0.00877536,0.010073737,0.008096564,0.004115285,0.050190713,0.011698452,0.010233013,0.004717223,,,28,0,0,0,0,,,94.58,87.63,102.79,99.45
